Date;Max;Min;Average;Precipitation
July 21, 2018;27.4°;13.7°;20.7°;0.0 mm
July 20, 2018;27.9°;15.1°;21.3°;0.0 mm
July 19, 2018;29.4°;15.4°;22.5°;0.2 mm
July 18, 2018;27.6°;17.6°;21.7°;0.1 mm
July 17, 2018;31.7°;14.5°;23.3°;4.3 mm
July 16, 2018;28.1°;17.4°;21.5°;0.0 mm
July 15, 2018;27.8°;15.6°;20.9°;0.0 mm
July 14, 2018;26.6°;17.6°;20.8°;0.0 mm
July 13, 2018;29.9°;14.5°;21.8°;2.2 mm
July 12, 2018;30.8°;16.0°;20.9°;0.0 mm
July 11, 2018;31.7°;15.9°;24.2°;0.0 mm
July 10, 2018;29.5°;18.0°;23.9°;0.9 mm
July 9, 2018;23.9°;14.6°;18.4°;0.0 mm
July 8, 2018;28.3°;12.3°;21.4°;0.0 mm
July 7, 2018;26.1°;17.1°;21.0°;0.0 mm
July 6, 2018;29.4°;15.1°;22.9°;0.0 mm
July 5, 2018;25.9°;15.6°;19.8°;0.0 mm
July 4, 2018;29.3°;17.6°;23.0°;0.0 mm
July 3, 2018;31.9°;12.4°;23.2°;0.0 mm
July 2, 2018;29.1°;11.1°;21.3°;0.0 mm
July 1, 2018;27.5°;8.5°;19.8°;0.0 mm
June 30, 2018;24.3°;11.1°;17.2°;0.0 mm
June 29, 2018;24.0°;11.9°;18.5°;0.0 mm
June 28, 2018;31.4°;13.7°;21.8°;0.0 mm
June 27, 2018;29.5°;12.6°;21.8°;0.0 mm
June 26, 2018;29.2°;15.2°;23.0°;0.0 mm
June 25, 2018;29.9°;15.1°;22.9°;0.0 mm
June 24, 2018;23.8°;8.9°;18.3°;0.0 mm
June 23, 2018;23.6°;8.5°;16.1°;0.0 mm
June 22, 2018;17.7°;6.1°;13.2°;1.1 mm
June 21, 2018;16.5°;8.3°;12.2°;0.0 mm
June 20, 2018;18.1°;10.1°;13.1°;0.0 mm
June 19, 2018;22.5°;13.1°;16.8°;0.1 mm
June 18, 2018;17.6°;11.8°;15.1°;15.9 mm
June 17, 2018;17.5°;10.3°;13.4°;7.2 mm
June 16, 2018;21.7°;12.9°;16.8°;0.0 mm
June 15, 2018;22.0°;13.1°;16.7°;5.3 mm
June 14, 2018;19.5°;14.2°;15.1°;0.0 mm
June 13, 2018;21.2°;14.1°;17.6°;0.0 mm
June 12, 2018;24.5°;10.7°;18.6°;0.0 mm
June 11, 2018;21.1°;14.8°;17.2°;10.4 mm
June 10, 2018;28.1°;15.0°;20.8°;0.0 mm
June 9, 2018;27.2°;14.8°;21.0°;0.0 mm
June 8, 2018;27.8°;14.4°;21.3°;0.0 mm
June 7, 2018;27.8°;10.7°;20.4°;0.0 mm
June 6, 2018;22.2°;8.3°;15.8°;0.0 mm
June 5, 2018;22.3°;7.6°;14.8°;0.0 mm
June 4, 2018;25.8°;14.0°;20.0°;0.0 mm
June 3, 2018;32.4°;14.7°;23.3°;0.0 mm
June 2, 2018;31.5°;13.9°;22.8°;0.0 mm
June 1, 2018;29.3°;11.3°;21.5°;0.0 mm
May 31, 2018;29.1°;13.4°;22.3°;0.0 mm
May 30, 2018;31.1°;13.3°;23.4°;0.0 mm
May 29, 2018;27.5°;12.2°;20.1°;0.5 mm
May 28, 2018;25.4°;14.6°;18.6°;0.0 mm
May 27, 2018;28.8°;12.0°;21.5°;0.0 mm
May 26, 2018;28.7°;12.2°;20.8°;0.0 mm
May 25, 2018;28.6°;9.2°;19.8°;0.0 mm
May 24, 2018;27.6°;7.2°;18.5°;0.0 mm
May 23, 2018;25.5°;8.4°;17.9°;0.0 mm
May 22, 2018;24.4°;7.7°;16.2°;0.0 mm
May 21, 2018;23.8°;8.4°;16.1°;0.0 mm
May 20, 2018;23.2°;7.4°;15.6°;0.0 mm
May 19, 2018;23.3°;5.4°;15.2°;0.0 mm
May 18, 2018;20.7°;9.1°;14.5°;0.0 mm
May 17, 2018;20.8°;8.3°;13.4°;0.5 mm
May 16, 2018;28.2°;9.0°;18.7°;0.0 mm
May 15, 2018;27.5°;7.7°;18.5°;0.0 mm
May 14, 2018;26.4°;10.2°;18.3°;0.0 mm
May 13, 2018;24.1°;5.9°;16.0°;0.0 mm
May 12, 2018;19.0°;11.3°;13.4°;0.5 mm
May 11, 2018;20.0°;13.5°;15.2°;12.7 mm
May 10, 2018;24.7°;9.3°;17.4°;0.0 mm
May 9, 2018;23.9°;5.6°;15.8°;0.0 mm
May 8, 2018;22.5°;7.5°;14.3°;0.0 mm
May 7, 2018;21.7°;4.7°;13.1°;0.0 mm
May 6, 2018;20.6°;8.7°;13.7°;0.0 mm
May 5, 2018;19.9°;6.5°;12.8°;0.0 mm
May 4, 2018;15.7°;0.8°;8.3°;3.9 mm
May 3, 2018;12.4°;5.9°;7.5°;0.0 mm
May 2, 2018;14.5°;5.7°;8.9°;4.2 mm
May 1, 2018;10.9°;3.1°;5.2°;8.7 mm
April 30, 2018;14.4°;1.9°;9.1°;0.0 mm
April 29, 2018;15.9°;-0.2°;8.5°;0.0 mm
April 28, 2018;13.5°;3.0°;7.6°;0.0 mm
April 27, 2018;13.4°;5.4°;7.8°;0.0 mm
April 26, 2018;15.2°;-0.3°;8.4°;0.0 mm
April 25, 2018;15.5°;-0.2°;8.2°;0.0 mm
April 24, 2018;11.8°;1.0°;7.4°;7.5 mm
April 23, 2018;10.9°;5.5°;7.7°;0.2 mm
April 22, 2018;16.8°;0.2°;9.2°;0.0 mm
April 21, 2018;17.3°;1.9°;10.4°;0.0 mm
April 20, 2018;11.1°;6.7°;8.0°;0.1 mm
April 19, 2018;17.6°;4.6°;10.0°;0.0 mm
April 18, 2018;17.7°;6.2°;10.6°;1.4 mm
April 17, 2018;13.1°;5.9°;8.0°;0.3 mm
April 16, 2018;13.7°;5.2°;7.8°;0.0 mm
April 15, 2018;18.4°;0.2°;10.0°;0.0 mm
April 14, 2018;17.4°;3.8°;10.1°;0.0 mm
April 13, 2018;14.2°;0.3°;8.0°;0.0 mm
April 12, 2018;13.4°;-4.4°;5.2°;0.0 mm
April 11, 2018;10.5°;-3.7°;3.3°;0.0 mm
April 10, 2018;9.2°;2.4°;4.9°;2.7 mm
April 9, 2018;4.5°;2.5°;3.4°;7.2 mm
April 8, 2018;7.2°;-1.2°;3.5°;0.0 mm
April 7, 2018;6.2°;-0.8°;3.2°;0.0 mm
April 6, 2018;10.7°;-0.4°;4.7°;6.5 mm
April 5, 2018;6.0°;1.9°;3.4°;5.7 mm
April 4, 2018;6.6°;0.0°;2.9°;7.7 mm
April 3, 2018;4.8°;-8.1°;-0.3°;0.0 mm
April 2, 2018;6.0°;-9.2°;-1.5°;0.0 mm
April 1, 2018;6.5°;-8.1°;-1.2°;0.0 mm
March 31, 2018;5.7°;-10.1°;-2.3°;0.0 mm
March 30, 2018;4.7°;-10.1°;-2.6°;0.0 mm
March 29, 2018;3.8°;-10.2°;-2.9°;0.0 mm
March 28, 2018;4.1°;-11.3°;-3.5°;0.0 mm
March 27, 2018;2.6°;-6.9°;-2.7°;0.0 mm
March 26, 2018;2.1°;-4.0°;-0.6°;0.0 mm
March 25, 2018;10.2°;-0.8°;2.6°;0.0 mm
March 24, 2018;6.9°;0.6°;2.9°;0.2 mm
March 23, 2018;2.1°;-1.1°;0.5°;0.0 mm
March 22, 2018;8.4°;-1.3°;1.8°;0.0 mm
March 21, 2018;7.5°;-5.1°;1.6°;0.0 mm
March 20, 2018;8.1°;-5.4°;1.5°;0.1 mm
March 19, 2018;5.3°;-9.6°;-2.0°;0.0 mm
March 18, 2018;2.3°;-16.0°;-7.6°;0.0 mm
March 17, 2018;-0.3°;-15.3°;-7.7°;0.0 mm
March 16, 2018;-1.4°;-8.6°;-5.3°;0.0 mm
March 15, 2018;0.8°;-5.7°;-2.4°;0.0 mm
March 14, 2018;4.8°;-9.4°;-2.6°;0.0 mm
March 13, 2018;3.5°;0.3°;1.5°;1.7 mm
March 12, 2018;2.1°;-2.1°;0.2°;6.3 mm
March 11, 2018;-1.3°;-3.1°;-2.2°;0.0 mm
March 10, 2018;0.0°;-9.1°;-3.0°;0.0 mm
March 9, 2018;0.8°;-4.7°;-3.1°;0.2 mm
March 8, 2018;0.2°;-1.5°;-1.0°;0.1 mm
March 7, 2018;0.2°;-2.3°;-0.8°;0.0 mm
March 6, 2018;-2.1°;-4.5°;-3.1°;0.1 mm
March 5, 2018;-2.9°;-7.4°;-3.9°;0.0 mm
March 4, 2018;-0.5°;-8.1°;-4.5°;0.0 mm
March 3, 2018;-2.9°;-8.2°;-5.8°;0.0 mm
March 2, 2018;-2.2°;-16.2°;-7.8°;0.0 mm
March 1, 2018;-6.5°;-15.2°;-11.0°;0.0 mm
February 28, 2018;-8.1°;-11.9°;-10.7°;0.0 mm
February 27, 2018;-5.0°;-10.3°;-8.7°;0.0 mm
February 26, 2018;-2.6°;-18.5°;-10.1°;0.6 mm
February 25, 2018;-2.6°;-10.8°;-6.9°;1.5 mm
February 24, 2018;-1.4°;-4.2°;-3.1°;0.0 mm
February 23, 2018;-0.7°;-9.9°;-3.4°;0.0 mm
February 22, 2018;0.0°;-9.1°;-5.0°;0.3 mm
February 21, 2018;-0.5°;-4.3°;-2.4°;0.0 mm
February 20, 2018;-0.5°;-3.7°;-3.0°;0.0 mm
February 19, 2018;0.6°;-2.4°;-0.7°;4.8 mm
February 18, 2018;1.0°;-2.6°;-0.7°;0.9 mm
February 17, 2018;-2.3°;-9.9°;-4.6°;0.1 mm
February 16, 2018;1.1°;-3.4°;-1.2°;2.5 mm
February 15, 2018;1.9°;-0.2°;0.5°;0.3 mm
February 14, 2018;3.0°;-4.6°;0.7°;0.3 mm
February 13, 2018;0.2°;-10.6°;-4.5°;0.1 mm
February 12, 2018;1.2°;-1.5°;-0.2°;0.0 mm
February 11, 2018;-0.2°;-1.6°;-1.2°;0.0 mm
February 10, 2018;0.2°;-1.8°;-0.8°;0.0 mm
February 9, 2018;1.7°;-3.0°;0.5°;2.7 mm
February 8, 2018;-2.8°;-10.7°;-5.1°;0.0 mm
February 7, 2018;-1.8°;-8.0°;-4.8°;0.0 mm
February 6, 2018;-3.0°;-6.6°;-4.8°;0.0 mm
February 5, 2018;-5.7°;-13.0°;-7.9°;0.0 mm
February 4, 2018;-4.0°;-11.6°;-8.8°;0.0 mm
February 3, 2018;-4.7°;-7.6°;-6.4°;0.0 mm
February 2, 2018;2.0°;-8.4°;-5.5°;1.5 mm
February 1, 2018;2.3°;0.3°;1.1°;13.5 mm
January 31, 2018;2.6°;-3.9°;0.9°;1.1 mm
January 30, 2018;-1.3°;-9.4°;-5.0°;3.8 mm
January 29, 2018;0.0°;-2.8°;-1.6°;0.1 mm
January 28, 2018;1.5°;-2.9°;-0.1°;10.0 mm
January 27, 2018;-0.3°;-5.5°;-3.4°;0.0 mm
January 26, 2018;1.7°;-4.4°;-1.4°;0.0 mm
January 25, 2018;6.6°;0.3°;3.4°;4.4 mm
January 24, 2018;6.0°;0.3°;3.0°;6.1 mm
January 23, 2018;1.2°;-3.4°;-0.9°;0.0 mm
January 22, 2018;-2.5°;-9.3°;-3.8°;0.0 mm
January 21, 2018;-0.8°;-9.4°;-3.9°;0.0 mm
January 20, 2018;-0.8°;-4.2°;-1.8°;0.0 mm
January 19, 2018;-0.8°;-6.9°;-2.5°;0.0 mm
January 18, 2018;-0.4°;-2.4°;-2.5°;0.0 mm
January 17, 2018;1.0°;-0.8°;-0.1°;0.0 mm
January 16, 2018;0.7°;-1.1°;0.3°;0.0 mm
January 15, 2018;-0.7°;-2.0°;-1.1°;0.0 mm
January 14, 2018;-1.4°;-2.9°;-2.0°;0.0 mm
January 13, 2018;-0.9°;-2.3°;-1.6°;0.0 mm
January 12, 2018;-1.2°;-4.2°;-2.5°;0.0 mm
January 11, 2018;-0.5°;-1.8°;-1.6°;1.4 mm
January 10, 2018;0.9°;-11.6°;-5.1°;0.0 mm
January 9, 2018;-2.5°;-8.3°;-6.2°;0.0 mm
January 8, 2018;-1.6°;-7.5°;-4.7°;0.0 mm
January 7, 2018;-3.1°;-12.0°;-7.5°;0.0 mm
January 6, 2018;-0.7°;-6.6°;-4.0°;0.0 mm
January 5, 2018;2.0°;-3.1°;-0.9°;0.0 mm
January 4, 2018;2.6°;0.8°;1.7°;1.8 mm
January 3, 2018;1.5°;-2.7°;0.0°;0.2 mm
January 2, 2018;2.6°;-1.9°;-0.2°;1.1 mm
January 1, 2018;2.5°;-0.3°;1.3°;8.0 mm
December 31, 2017;-0.3°;-2.1°;-0.6°;0.4 mm
December 30, 2017;-1.0°;-3.9°;-2.6°;0.0 mm
December 29, 2017;2.0°;-1.0°;0.0°;9.5 mm
December 28, 2017;2.0°;0.0°;1.3°;6.8 mm
December 27, 2017;3.7°;0.2°;2.0°;18.3 mm
December 26, 2017;3.7°;-0.2°;1.9°;4.0 mm
December 25, 2017;0.2°;-6.3°;-1.7°;0.0 mm
December 24, 2017;3.0°;-4.5°;-3.5°;1.4 mm
December 23, 2017;1.1°;-3.6°;-0.7°;0.0 mm
December 22, 2017;-2.2°;-8.2°;-5.3°;0.0 mm
December 21, 2017;0.4°;-4.1°;-2.3°;0.4 mm
December 20, 2017;0.6°;-1.5°;-0.1°;0.4 mm
December 19, 2017;-1.4°;-9.4°;-4.3°;0.3 mm
December 18, 2017;-0.8°;-7.9°;-3.9°;0.5 mm
December 17, 2017;-5.9°;-12.2°;-9.1°;0.0 mm
December 16, 2017;0.5°;-6.1°;-3.0°;0.0 mm
December 15, 2017;0.7°;-5.1°;-1.3°;0.9 mm
December 14, 2017;0.8°;-2.2°;-0.5°;6.8 mm
December 13, 2017;-0.8°;-11.5°;-4.8°;0.0 mm
December 12, 2017;-1.1°;-9.1°;-5.9°;0.1 mm
December 11, 2017;-0.4°;-4.4°;-1.4°;0.5 mm
December 10, 2017;-3.3°;-8.7°;-5.7°;0.0 mm
December 9, 2017;4.7°;-3.3°;0.5°;0.0 mm
December 8, 2017;6.9°;0.1°;4.1°;0.2 mm
December 7, 2017;8.8°;0.3°;4.7°;1.7 mm
December 6, 2017;0.6°;-0.8°;0.2°;3.6 mm
December 5, 2017;0.8°;-6.9°;-3.3°;0.0 mm
December 4, 2017;-3.1°;-7.7°;-5.4°;0.0 mm
December 3, 2017;-0.8°;-5.4°;-3.7°;0.2 mm
December 2, 2017;-1.7°;-8.3°;-4.1°;0.0 mm
December 1, 2017;1.1°;-6.0°;-2.9°;0.0 mm
November 30, 2017;0.9°;-1.0°;0.2°;0.0 mm
November 29, 2017;1.4°;-0.5°;0.5°;0.5 mm
November 28, 2017;0.9°;-0.5°;0.4°;0.2 mm
November 27, 2017;2.6°;-1.0°;0.6°;1.5 mm
November 26, 2017;4.0°;-3.8°;1.7°;1.0 mm
November 25, 2017;3.0°;-3.2°;-0.7°;0.0 mm
November 24, 2017;7.9°;1.4°;3.1°;3.5 mm
November 23, 2017;9.3°;-0.1°;5.9°;19.3 mm
November 22, 2017;-0.1°;-6.6°;-3.1°;1.1 mm
November 21, 2017;-0.8°;-5.4°;-3.2°;0.0 mm
November 20, 2017;-0.3°;-7.2°;-3.2°;0.0 mm
November 19, 2017;2.5°;-2.9°;-0.3°;0.3 mm
November 18, 2017;5.9°;-3.1°;-0.3°;0.0 mm
November 17, 2017;7.4°;0.7°;4.8°;5.5 mm
November 16, 2017;6.8°;-6.6°;-0.5°;0.0 mm
November 15, 2017;1.3°;-4.7°;-1.5°;5.5 mm
November 14, 2017;1.3°;-4.9°;-1.6°;0.0 mm
November 13, 2017;4.1°;-4.1°;-1.3°;0.0 mm
November 12, 2017;1.8°;-5.9°;-2.5°;0.0 mm
November 11, 2017;4.5°;-3.3°;-1.2°;6.5 mm
November 10, 2017;7.3°;-1.8°;2.7°;0.3 mm
November 9, 2017;9.5°;5.9°;7.8°;0.3 mm
November 8, 2017;8.4°;2.6°;6.1°;1.1 mm
November 7, 2017;4.5°;-1.8°;2.2°;0.0 mm
November 6, 2017;7.4°;-0.9°;2.4°;11.0 mm
November 5, 2017;8.4°;2.3°;5.5°;18.5 mm
November 4, 2017;4.3°;-1.5°;2.4°;0.0 mm
November 3, 2017;8.3°;-2.7°;1.1°;0.0 mm
November 2, 2017;11.4°;0.9°;3.9°;0.6 mm
November 1, 2017;5.9°;-0.5°;3.4°;0.0 mm
October 31, 2017;7.6°;-1.8°;2.6°;0.0 mm
October 30, 2017;5.6°;-3.1°;0.8°;0.0 mm
October 29, 2017;9.4°;4.2°;6.2°;0.2 mm
October 28, 2017;13.8°;2.9°;7.9°;0.1 mm
October 27, 2017;8.8°;-0.5°;5.0°;0.6 mm
October 26, 2017;10.6°;0.0°;5.2°;0.1 mm
October 25, 2017;8.2°;1.2°;4.3°;42.6 mm
October 24, 2017;5.6°;4.4°;5.0°;0.0 mm
October 23, 2017;6.3°;3.0°;4.9°;0.0 mm
October 22, 2017;8.6°;5.1°;5.7°;0.0 mm
October 21, 2017;8.7°;7.2°;7.9°;0.3 mm
October 20, 2017;8.0°;4.3°;7.1°;0.1 mm
October 19, 2017;9.5°;-2.0°;3.8°;0.0 mm
October 18, 2017;12.4°;1.0°;4.9°;2.6 mm
October 17, 2017;13.9°;7.8°;10.1°;6.8 mm
October 16, 2017;17.8°;7.4°;11.6°;1.6 mm
October 15, 2017;13.4°;4.6°;9.5°;0.1 mm
October 14, 2017;14.6°;6.3°;10.8°;12.8 mm
October 13, 2017;10.6°;0.3°;6.8°;0.0 mm
October 12, 2017;13.0°;6.1°;8.4°;25.3 mm
October 11, 2017;8.2°;-0.4°;5.2°;4.4 mm
October 10, 2017;8.8°;-1.6°;4.0°;0.0 mm
October 9, 2017;12.2°;0.9°;5.1°;0.0 mm
October 8, 2017;13.9°;0.3°;6.9°;0.0 mm
October 7, 2017;13.5°;3.4°;7.4°;0.0 mm
October 6, 2017;17.1°;2.6°;8.8°;0.0 mm
October 5, 2017;14.1°;0.7°;5.9°;2.9 mm
October 4, 2017;13.5°;5.8°;8.4°;0.0 mm
October 3, 2017;15.9°;9.3°;12.3°;15.8 mm
October 2, 2017;16.2°;10.8°;12.2°;17.7 mm
October 1, 2017;14.8°;10.2°;12.0°;0.0 mm
September 30, 2017;15.9°;10.4°;12.9°;0.0 mm
September 29, 2017;14.8°;11.5°;12.1°;0.0 mm
September 28, 2017;14.8°;12.5°;13.6°;0.0 mm
September 27, 2017;16.7°;13.4°;14.4°;0.3 mm
September 26, 2017;15.5°;12.2°;13.8°;0.0 mm
September 25, 2017;15.6°;13.2°;14.3°;0.1 mm
September 24, 2017;15.1°;13.2°;14.0°;0.0 mm
September 23, 2017;14.1°;11.0°;12.7°;3.1 mm
September 22, 2017;14.9°;9.1°;12.1°;0.0 mm
September 21, 2017;11.9°;5.0°;8.8°;4.6 mm
September 20, 2017;14.5°;8.5°;10.3°;0.4 mm
September 19, 2017;15.1°;8.7°;12.0°;1.4 mm
September 18, 2017;16.7°;9.6°;12.6°;0.2 mm
September 17, 2017;17.4°;6.3°;11.3°;1.0 mm
September 16, 2017;18.7°;6.9°;12.0°;0.0 mm
September 15, 2017;19.6°;5.7°;11.6°;0.3 mm
September 14, 2017;17.2°;8.9°;11.8°;3.0 mm
September 13, 2017;16.6°;8.6°;11.9°;6.7 mm
September 12, 2017;17.5°;11.7°;13.9°;21.7 mm
September 11, 2017;14.9°;12.3°;13.3°;13.0 mm
September 10, 2017;17.3°;9.4°;12.9°;5.3 mm
September 9, 2017;15.5°;10.6°;12.0°;11.0 mm
September 8, 2017;14.3°;8.6°;11.9°;0.0 mm
September 7, 2017;14.0°;10.4°;11.5°;5.6 mm
September 6, 2017;14.7°;12.2°;12.9°;7.0 mm
September 5, 2017;14.5°;11.1°;13.2°;0.6 mm
September 4, 2017;15.3°;11.5°;12.5°;0.0 mm
September 3, 2017;19.6°;8.4°;14.0°;0.0 mm
September 2, 2017;19.7°;6.4°;13.0°;0.0 mm
September 1, 2017;18.8°;8.9°;12.7°;1.2 mm
August 31, 2017;15.9°;10.3°;12.6°;0.0 mm
August 30, 2017;20.9°;7.8°;14.6°;0.1 mm
August 29, 2017;19.6°;15.6°;17.1°;8.8 mm
August 28, 2017;21.8°;8.6°;16.1°;0.0 mm
August 27, 2017;22.1°;6.4°;13.3°;0.0 mm
August 26, 2017;19.6°;11.1°;14.4°;0.0 mm
August 25, 2017;20.8°;11.7°;15.3°;8.1 mm
August 24, 2017;18.6°;10.6°;13.9°;0.0 mm
August 23, 2017;20.7°;5.5°;13.8°;0.0 mm
August 22, 2017;20.5°;8.6°;13.5°;2.0 mm
August 21, 2017;20.5°;10.8°;15.1°;0.0 mm
August 20, 2017;20.4°;11.9°;15.6°;0.3 mm
August 19, 2017;21.1°;14.2°;16.0°;10.0 mm
August 18, 2017;21.4°;14.2°;16.9°;17.3 mm
August 17, 2017;20.6°;13.4°;16.7°;0.0 mm
August 16, 2017;23.6°;14.4°;18.0°;31.4 mm
August 15, 2017;20.6°;12.6°;15.9°;0.0 mm
August 14, 2017;21.0°;6.3°;15.1°;0.0 mm
August 13, 2017;21.2°;11.8°;15.7°;1.9 mm
August 12, 2017;21.4°;14.2°;16.8°;0.1 mm
August 11, 2017;23.3°;10.4°;16.9°;0.1 mm
August 10, 2017;25.5°;12.6°;18.1°;55.4 mm
August 9, 2017;20.2°;13.6°;15.0°;25.3 mm
August 8, 2017;22.9°;13.0°;17.3°;4.0 mm
August 7, 2017;20.5°;9.0°;14.6°;7.0 mm
August 6, 2017;19.4°;14.3°;15.3°;2.2 mm
August 5, 2017;22.9°;13.6°;17.1°;4.3 mm
August 4, 2017;21.2°;14.0°;16.3°;11.6 mm
August 3, 2017;21.7°;8.5°;15.2°;1.5 mm
August 2, 2017;22.2°;12.6°;16.2°;1.5 mm
August 1, 2017;22.6°;13.3°;17.0°;1.4 mm
July 31, 2017;23.3°;13.9°;17.0°;10.5 mm
July 30, 2017;20.6°;14.6°;16.6°;0.7 mm
July 29, 2017;21.3°;12.9°;16.4°;0.0 mm
July 28, 2017;22.1°;14.0°;17.3°;20.7 mm
July 27, 2017;20.9°;14.8°;17.6°;0.2 mm
July 26, 2017;22.3°;16.0°;19.1°;0.4 mm
July 25, 2017;24.9°;12.2°;19.5°;0.0 mm
July 24, 2017;22.8°;15.9°;18.5°;0.5 mm
July 23, 2017;26.7°;12.6°;20.2°;0.0 mm
July 22, 2017;25.3°;14.6°;19.1°;0.0 mm
July 21, 2017;22.6°;12.0°;17.1°;0.0 mm
July 20, 2017;25.8°;9.3°;19.2°;0.0 mm
July 19, 2017;22.5°;11.0°;17.1°;0.0 mm
July 18, 2017;23.7°;7.6°;17.2°;0.0 mm
July 17, 2017;22.6°;8.7°;16.5°;8.5 mm
July 16, 2017;23.3°;13.4°;16.6°;12.6 mm
July 15, 2017;23.8°;11.7°;17.8°;0.0 mm
July 14, 2017;22.2°;9.2°;16.5°;0.0 mm
July 13, 2017;22.5°;6.1°;15.5°;0.5 mm
July 12, 2017;19.6°;13.0°;14.9°;0.0 mm
July 11, 2017;18.1°;14.6°;16.2°;9.7 mm
July 10, 2017;18.5°;14.8°;15.6°;0.1 mm
July 9, 2017;22.9°;14.2°;17.8°;3.4 mm
July 8, 2017;20.6°;13.8°;16.1°;22.9 mm
July 7, 2017;22.8°;13.8°;17.1°;0.0 mm
July 6, 2017;22.8°;9.3°;16.4°;0.0 mm
July 5, 2017;22.3°;8.9°;16.0°;0.7 mm
July 4, 2017;21.9°;11.0°;16.5°;3.2 mm
July 3, 2017;22.6°;13.9°;16.7°;0.0 mm
July 2, 2017;24.9°;14.4°;18.5°;0.0 mm
July 1, 2017;26.6°;12.1°;20.6°;0.0 mm
